"in bold, sample names (""DNA_CODE"") that have been changed. Will need to highlight these and update kev on the DB.",,,,,,,,,
,,,,,,,,,
Sample no.,Plate,Well,DNA_CODE,Locality,LAT_SOUTH,LONG_EAST,confirmed_species,Site,Collector
95,1,G12,dasklip1,Dasklip Pass,-32.8963,19.03596,P. scabrum,295,C_Chong
96,1,H12,dasklip2,Dasklip Pass,-32.8963,19.03596,P. scabrum,295,C_Chong
97,2,A01,HB1,Cloetes' Pass,-33.961021,21.790685,P. scabrum,1002,C_Chong
98,2,B01,HB2,Cloetes' Pass,-33.961026,21.790658,P. scabrum,1002,C_Chong
99,2,C01,HB3,Cloetes' Pass,-33.961035,21.790651,P. scabrum,1002,C_Chong
100,2,D01,HB4,Cloetes' Pass,-33.961049,21.790649,P. scabrum,1002,C_Chong
101,2,E01,HB5,Cloetes' Pass,-33.961048,21.790716,P. scabrum,1002,C_Chong
102,2,F01,HB6,Cloetes' Pass,-33.961045,21.790711,P. scabrum,1002,C_Chong
103,2,G01,HB7,Cloetes' Pass,-33.961043,21.790799,P. scabrum,1002,C_Chong
104,2,H01,HB8,Cloetes' Pass,-33.961033,21.790818,P. scabrum,1002,C_Chong
105,2,A02,HB9,Cloetes' Pass,-33.961029,21.790814,P. scabrum,1002,C_Chong
106,2,B02,HB10,Cloetes' Pass,-33.961012,21.790819,P. scabrum,1002,C_Chong
107,2,C02,HB11,Cloetes' Pass,-33.961369,21.790802,P. scabrum,1002,C_Chong
108,2,D02,HB12,Cloetes' Pass,-33.961362,21.7908,P. scabrum,1002,C_Chong
109,2,E02,HB13,Cloetes' Pass,-33.961362,21.790804,P. scabrum,1002,C_Chong
110,2,F02,HB14,Cloetes' Pass,-33.961361,21.790807,P. scabrum,1002,C_Chong
111,2,G02,HB15,Cloetes' Pass,-33.961406,21.790759,P. scabrum,1002,C_Chong
112,2,H02,HB16,Cloetes' Pass,-33.961415,21.790764,P. scabrum,1002,C_Chong
113,2,A03,HB17,Cloetes' Pass,-33.961406,21.790755,P. scabrum,1002,C_Chong
114,2,B03,HB18,Cloetes' Pass,-33.961404,21.790741,P. scabrum,1002,C_Chong
115,2,C03,HB20,Cloetes' Pass,-33.961441,21.790718,P. scabrum,1002,C_Chong
116,2,D03,HB21,Cloetes' Pass,-33.961065,21.790867,P. scabrum,1002,C_Chong
117,2,E03,HB22,Cloetes' Pass,-33.961064,21.790863,P. scabrum,1002,C_Chong
118,2,F03,HB24,Cloetes' Pass,-33.961152,21.790833,P. scabrum,1002,C_Chong
119,2,G03,HB25,Cloetes' Pass,-33.961071,21.790918,P. scabrum,1002,C_Chong
120,2,H03,HB26,Cloetes' Pass,-33.961047,21.790949,P. scabrum,1002,C_Chong
121,2,A04,HB27,Cloetes' Pass,-33.961059,21.790975,P. scabrum,1002,C_Chong
122,2,B04,HB28,Cloetes' Pass,-33.961026,21.790926,P. scabrum,1002,C_Chong
123,2,C04,HB29,Cloetes' Pass,-33.960991,21.790976,P. scabrum,1002,C_Chong
124,2,D04,HB30,Cloetes' Pass,-33.960961,21.791017,P. scabrum,1002,C_Chong
125,2,E04,HB31,Cloetes' Pass,-33.960599,21.790868,P. scabrum,1002,C_Chong
126,2,F04,HB32,Cloetes' Pass,-33.960596,21.79087,P. scabrum,1002,C_Chong
127,2,G04,HB33,Cloetes' Pass,-33.960583,21.79087,P. scabrum,1002,C_Chong
128,2,H04,HB34,Cloetes' Pass,-33.960567,21.790865,P. scabrum,1002,C_Chong
129,2,A05,HB37,Cloetes' Pass,-33.960645,21.790722,P. scabrum,1002,C_Chong
130,2,B05,HB38,Cloetes' Pass,-33.960658,21.790712,P. scabrum,1002,C_Chong
131,2,C05,HB39,Cloetes' Pass,-33.960652,21.790712,P. scabrum,1002,C_Chong
132,2,D05,HB40,Cloetes' Pass,-33.961463,21.790724,P. scabrum,1002,C_Chong
133,2,E05,HB41,Cloetes' Pass,-33.961467,21.790745,P. scabrum,1002,C_Chong
134,2,F05,HB42,Cloetes' Pass,-33.961466,21.79075,P. scabrum,1002,C_Chong
135,2,G05,HB43,Cloetes' Pass,-33.961468,21.790754,P. scabrum,1002,C_Chong
136,2,H05,HB44,Cloetes' Pass,-33.96149,21.79077,P. scabrum,1002,C_Chong
137,2,A06,HB45,Cloetes' Pass,-33.961487,21.790775,P. scabrum,1002,C_Chong
138,2,B06,HB46,Cloetes' Pass,-33.961499,21.790796,P. scabrum,1002,C_Chong
139,2,C06,HB47,Cloetes' Pass,-33.961499,21.790797,P. scabrum,1002,C_Chong
140,2,D06,HB48,Cloetes' Pass,-33.96151,21.790815,P. scabrum,1002,C_Chong
141,2,E06,HB49,Cloetes' Pass,-33.96149,21.790811,P. scabrum,1002,C_Chong
142,2,F06,HB50,Cloetes' Pass,-33.961489,21.790811,P. scabrum,1002,C_Chong
143,2,G06,H14,Cloetes' Pass,-33.961093,21.791125,P. scabrum,1002,C_Chong
144,2,H06,H10,Cloetes' Pass,-33.961022,21.790919,P. scabrum,1002,C_Chong
145,2,A07,H11,Cloetes' Pass,-33.960977,21.791011,P. scabrum,1002,C_Chong
146,2,B07,H12,Cloetes' Pass,-33.960947,21.79105,P. scabrum,1002,C_Chong
147,2,C07,H13,Cloetes' Pass,-33.961118,21.791053,P. scabrum,1002,C_Chong
148,2,D07,H1,Cloetes' Pass,-33.961034,21.790665,P. scabrum,1002,C_Chong
149,2,E07,H15,Cloetes' Pass,-33.960541,21.790904,P. scabrum,1002,C_Chong
150,2,F07,H16,Cloetes' Pass,-33.960552,21.790882,P. scabrum,1002,C_Chong
151,2,G07,H17,Cloetes' Pass,-33.960669,21.79068,P. scabrum,1002,C_Chong
152,2,H07,H18,Cloetes' Pass,-33.96071,21.790694,P. scabrum,1002,C_Chong
153,2,A08,H19,Cloetes' Pass,-33.961409,21.790733,P. scabrum,1002,C_Chong
154,2,B08,H2,Cloetes' Pass,-33.961005,21.79082,P. scabrum,1002,C_Chong
155,2,C08,H3,Cloetes' Pass,-33.961112,21.790831,P. scabrum,1002,C_Chong
156,2,D08,H35,Cloetes' Pass,-33.960576,21.790897,P. scabrum,1002,C_Chong
157,2,E08,H36,Cloetes' Pass,-33.960526,21.790917,P. scabrum,1002,C_Chong
158,2,F08,H5,Cloetes' Pass,-33.961409,21.790743,P. scabrum,1002,C_Chong
159,2,G08,H7,Cloetes' Pass,-33.961437,21.790719,P. scabrum,1002,C_Chong
160,2,H08,H8,Cloetes' Pass,-33.961438,21.790698,P. scabrum,1002,C_Chong
161,2,A09,H9,Cloetes' Pass,-33.961047,21.79094,P. scabrum,1002,C_Chong
162,2,B09,HB23,Cloetes' Pass,-33.961058,21.790891,P. scabrum,1002,C_Chong
163,2,C09,SEW3A,Seweweekspoort,-33.440364,21.409419,P. scabrum,1003,C_Chong
164,2,D09,M1,Seweweekspoort,-33.440957,21.409251,P. scabrum,1003,C_Chong
165,2,E09,SEWUSE3,Seweweekspoort,-33.441276,21.409864,P. scabrum,1003,C_Chong
166,2,F09,SEWUSE1,Seweweekspoort,-33.441274,21.409455,P. scabrum,1003,C_Chong
167,2,G09,SEW1,Seweweekspoort,-33.435353,21.407081,P. scabrum,1003,C_Chong
168,2,H09,SEW3,Seweweekspoort,-33.434992,21.407139,P. scabrum,1003,C_Chong
169,2,A10,SEW2,Seweweekspoort,-33.435074,21.407129,P. scabrum,1003,C_Chong
170,2,B10,SEWUSE2,Seweweekspoort,-33.441283,21.409455,P. scabrum,1003,C_Chong
171,2,C10,SEWUSE4,Seweweekspoort,-33.441413,21.410248,P. scabrum,1003,C_Chong
172,2,D10,SEW4,Seweweekspoort,-33.440182,21.410599,P. citronellum,1003,C_Chong
173,2,E10,SEW5,Seweweekspoort,-33.440182,21.410632,P. citronellum,1003,C_Chong
174,2,F10,SEW6,Seweweekspoort,-33.440199,21.410627,P. citronellum,1003,C_Chong
175,2,G10,SEW7,Seweweekspoort,-33.440195,21.410609,P. citronellum,1003,C_Chong
176,2,H10,SEWINT2,Seweweekspoort,-33.440303,21.409331,P. citronellum,1003,C_Chong
177,2,A11,SEW8,Seweweekspoort,-33.440183,21.410584,P. citronellum,1003,C_Chong
178,2,B11,SEW9_A,Seweweekspoort,-33.440202,21.410608,P. citronellum,1003,C_Chong
179,2,C11,SEW9,Seweweekspoort,-33.440185,21.410659,P. citronellum,1003,C_Chong
180,2,D11,SEW10,Seweweekspoort,-33.440178,21.410647,P. citronellum,1003,C_Chong
181,2,E11,SEW11,Seweweekspoort,-33.440179,21.410648,P. citronellum,1003,C_Chong
182,2,F11,SEW12,Seweweekspoort,-33.440327,21.410407,P. citronellum,1003,C_Chong
183,2,G11,SEW13,Seweweekspoort,-33.44031,21.410386,P. citronellum,1003,C_Chong
184,2,H11,SEW14,Seweweekspoort,-33.440305,21.410385,P. citronellum,1003,C_Chong
185,2,A12,SEW15,Seweweekspoort,-33.440316,21.41039,P. citronellum,1003,C_Chong
186,2,B12,SEW16,Seweweekspoort,-33.440338,21.410391,P. citronellum,1003,C_Chong
187,2,C12,SEW17,Seweweekspoort,-33.440321,21.41039,P. citronellum,1003,C_Chong
188,2,D12,SEW18,Seweweekspoort,-33.440319,21.410389,P. citronellum,1003,C_Chong
189,2,E12,SEW19,Seweweekspoort,-33.440327,21.410297,P. citronellum,1003,C_Chong
190,2,F12,SEWINT1,Seweweekspoort,-33.435353,21.407081,P. sp. unknown,1003,C_Chong
191,2,G12,SPB,Seweweekspoort,-33.44131,21.409438,P. sp. unknown,1003,C_Chong
192,2,H12,160A_7,"Middleberg Pass, lower Pass",-32.61885,19.12064,P. scabrum,160_A,C_Chong
193,3,A01,SPPA,Swartberg Pass,-33.29432,22.05101,P. zonale,1004,C_Chong
194,3,B01,SPPB,Swartberg Pass,-33.2947,22.05111,P. glutinosum,1004,C_Chong
195,3,C01,SPPB,Swartberg Pass,-33.29462,22.05123,P. glutinosum,1004,C_Chong
196,3,D01,SPPB,Swartberg Pass,-33.2946,22.05112,P. glutinosum,1004,C_Chong
197,3,E01,714,Swartberg Pass,-33.294713,22.051191,P. sp. unknown,1004,C_Chong
198,3,F01,SWP1,Swartberg Pass,-33.294595,22.051237,P. scabrum,1004,C_Chong
199,3,G01,SW3,Swartberg Pass,-33.29462,22.051163,P. scabrum,1004,C_Chong
200,3,H01,SW2,Swartberg Pass,-33.294609,22.051171,P. scabrum,1004,C_Chong
201,3,A02,SW4,Swartberg Pass,-33.294633,22.051298,P. scabrum,1004,C_Chong
202,3,B02,SW5,Swartberg Pass,-33.294661,22.051317,P. scabrum,1004,C_Chong
203,3,C02,SW11,Swartberg Pass,-33.294664,22.05131,P. scabrum,1004,C_Chong
204,3,D02,SW1,Swartberg Pass,-33.294719,22.051184,P. scabrum,1004,C_Chong
