"plate.name","well","value"
"PeleGHPlate3","E06","VR_VR3_1"
"PeleGHPlate3","E07","KB_K15_4"
"PeleGHPlate3","E08","UDP_M4_4"
"PeleGHPlate3","E09","HB_HB19_5"
"PeleGHPlate3","E10","EZE_EZ4_2"
"PeleGHPlate3","E11","ME_ME6_21"
"PeleGHPlate3","E12","SB_SB7_1"
"PeleGHPlate3","F01","PK_D_3"
"PeleGHPlate3","F02","ME_ME17_33"
"PeleGHPlate3","F03","ME_ME6_3"
"PeleGHPlate3","F04","HB_HB19_3"
"PeleGHPlate3","F05","HB_HB41_5"
"PeleGHPlate3","F06","UDP_UD13_22"
"PeleGHPlate3","F07","VR_VR10_1"
"PeleGHPlate3","F08","UDP_UD14_1"
"PeleGHPlate3","F09","EZE_EZ9_1"
"PeleGHPlate3","F10","ME_ME2_4"
"PeleGHPlate3","F11","UDP_UP38_10"
"PeleGHPlate3","F12","WOR_FG30_1"
"PeleGHPlate3","G01","ME_ME6_27"
"PeleGHPlate3","G02","UDP_UD13_1"
"PeleGHPlate3","G03","UDP_M1U_4"
"PeleGHPlate3","G04","LG_LG16_1"
"PeleGHPlate3","G05","EZE_EZ5_3"
"PeleGHPlate3","G06","UDP_UD4_8"
"PeleGHPlate3","G07","ME_ME17_31"
"PeleGHPlate3","G08","HB_HB28_2"
"PeleGHPlate3","G09","HB_HB32_4"
"PeleGHPlate3","G10","UDP_M8_3"
"PeleGHPlate3","G11","UDP_UD4_1"
"PeleGHPlate3","G12","SEW_SEW6_2"
"PeleGHPlate3","H01","VR_VR31_3"
"PeleGHPlate3","H02","UDP_UP39_6"
"PeleGHPlate3","H03","UDP_UP38_17"
"PeleGHPlate3","H04","HB_HB14_6"
"PeleGHPlate3","H05","ME_ME8_22"
"PeleGHPlate3","H06","KB_K15_6"
"PeleGHPlate3","H07","HB_HB47_6"
"PeleGHPlate3","H08","KB_K13_11"
"PeleGHPlate3","H09","HB_HB41_4"
"PeleGHPlate3","H10","UDP_UD10_8"
"PeleGHPlate3","H11","ME_ME8_3"
"PeleGHPlate3","H12","UDP_UP38_18"
"PeleGHPlate4","A01","HB_HB28_5"
"PeleGHPlate4","A02","UDP_UD10_6"
"PeleGHPlate4","A03","MID_MB14_1"
